Argentina,Battery,1,1
Argentina,Better Than You,1,1
Argentina,Cabeça Dinossauro,1,1
Argentina,Canário Do Reino,1,1
Argentina,Chemical Wedding,1,1
Argentina,Comida,1,1
Argentina,Compadre,1,1
Argentina,Deuce,1,1
Argentina,Disposable Heroes,1,1
Argentina,Dujji,1,1
Argentina,Entrando Na Sua (Intro),1,1
Argentina,Esperando Na Janela,1,1
Argentina,Everlong,1,1
Argentina,Falamansa Song,1,1
Argentina,Friend Of A Friend,1,1
Argentina,Fuel,1,1
Argentina,How High The Moon,1,1
Argentina,It Was A Very Good Year,1,1
Argentina,It's So Easy,1,1
Argentina,Love Gun,1,1
Argentina,Mama Said,1,1
Argentina,Marvin,1,1
Argentina,Medo De Escuro,1,1
Argentina,Monkey Wrench,1,1
Argentina,Não Quero Dinheiro,1,1
Argentina,New Love,1,1
Argentina,Opus No.1,1,1
Argentina,Out Ta Get Me,1,1
Argentina,Polícia (Vinheta),1,1
Argentina,Sua Impossivel Chance,1,1
Argentina,Surprise! You're Dead!,1,1
Argentina,Take This Bottle,1,1
Argentina,The Last Song,1,1
Argentina,Times Like These,1,1
Argentina,Wake Me Up When September Ends,1,1
Argentina,What Now My Love,1,1
Argentina,Whatsername,1,1
Argentina,Where The Wild Things Are,1,1
Australia,Walking On The Water,1,1
Australia,Walking Into Clarksdale,1,1
Australia,Two Hearts Beat As One,1,1
Australia,The Trooper,1,1
Australia,The Unforgettable Fire,1,1
Australia,The Aftermath,1,1
Australia,The Assassin,1,1
Australia,The Evil That Men Do,1,1
Australia,"Suzie-Q, Pt. 2",1,1
Australia,Sunday Bloody Sunday,1,1
Australia,Sure Know Something,1,1
Australia,Powerslave,1,1
Australia,Numb,1,1
Australia,Purgatory,1,1
Australia,Relvelation (Mother Earth),1,1
Australia,Saudosa Maloca,1,1
Australia,Sons Of Freedom,1,1
Australia,Me Deixas Louca,1,1
Australia,Little Guitars,1,1
Australia,Iron Maiden,1,1
Australia,Here I Am (Come And Take Me),1,1
Australia,Hallowed Be Thy Name,1,1
Australia,Fortunes Of War,1,1
Australia,Fear Of The Dark,1,1
Australia,Dream Of Mirrors,1,1
Australia,Dirty Day,1,1
Australia,Die With Your Boots On,1,1
Australia,Dance Of Death,1,1
Australia,Dee,1,1
Australia,Children Of The Grave,1,1
Australia,C'est La Vie,1,1
Australia,Cathedral,1,1
Australia,Blood On The World's Hands,1,1
Australia,Blue Train,1,1
Australia,Bring Your Daughter... To The Slaughter,1,1
Australia,09 - Iron Maiden,1,1
Australia,2 A.M.,1,1
Australia,Afraid To Shoot Strangers,1,1
Austria,"Abraham, Martin And John",1,1
Austria,2 Minutes To Midnight,1,1
Austria,5.15,1,1
Austria,All Along The Watchtower,1,1
Austria,Brighter Than a Thousand Suns,1,1
Austria,Born to Run,1,1
Austria,Deep Waters,1,1
Austria,Dave,1,1
Austria,Fire + Water,1,1
Austria,Everlasting Love,1,1
Austria,God Part II,1,1
Austria,Homecoming,1,1
Austria,I Heard Love Is Blind,1,1
Austria,Just Friends,1,1
Austria,Love Is Blindness,1,1
Austria,Lord of Light,1,1
Austria,Miami,1,1
Austria,Soldier Side - Intro,1,1
Austria,Squeeze Box,1,1
Austria,Solitary,1,1
Austria,Shotgun Blues,1,1
Austria,Rehab (Hot Chip Remix),1,1
Austria,Reggae Odoyá,1,1
Austria,Revenga,1,1
Austria,Protesto Do Olodum (Ao Vivo),1,1
Austria,"Peer Gynt Suite No.1, Op.46: 1. Morning Mood",1,1
Austria,Original Of The Species,1,1
Austria,One,1,1
